a name,year_birth,age,log_age,bm_before,bm_after,hibdur days,hibstart,hibend,hibendyearbefore,bmspring,year,sex,diet,age death,repro_active
69,2010,3,0.4771,200,140,294,21.08.13,11.06.14,19.06.13,120,2013,f,medium,5,no
69,2010,4,0.6021,227,131,329,06.08.14,24.06.15,11.06.14,140,2014,f,high fat,5,no
70,2010,1,0,195,137,286,21.09.11,03.07.12,22.06.11,107,2011,f,high fat,3,no
70,2010,2,0.301,195,122,309,21.08.12,26.06.13,03.07.12,137,2012,f,medium,3,no
71,2010,1,0,213,141,272,21.09.11,19.06.12,08.06.11,88,2011,f,high fat,2,no
72,2010,1,0,231,136,272,05.10.11,03.07.12,22.06.11,100,2011,f,high fat,5,no
72,2010,2,0.301,203,132,288,04.09.12,19.06.13,03.07.12,136,2012,f,medium,5,no
72,2010,3,0.4771,169,135,273,25.09.13,25.06.14,19.06.13,132,2013,f,medium,5,yes
72,2010,4,0.6021,230,143,294,20.08.14,10.06.15,25.06.14,135,2014,f,medium,5,no
73,2011,1,0,196,122,288,11.09.12,26.06.13,19.06.12,103,2012,f,medium,4,no
73,2011,2,0.301,209,140,280,04.09.13,11.06.14,26.06.13,122,2013,f,medium,4,no
73,2011,3,0.4771,220,146,287,30.07.14,13.05.15,11.06.14,140,2014,f,high fat,4,no
74,2011,1,0,195,131,253,18.09.12,29.05.13,19.06.12,92,2012,f,medium,5,no
74,2011,2,0.301,231,152,273,18.09.13,18.06.14,29.05.13,131,2013,f,medium,5,no
74,2011,3,0.4771,189,146,287,06.08.14,20.05.15,18.06.14,152,2014,f,high fat,5,no
75,2011,1,0,204,125,246,11.09.12,15.05.13,03.07.12,99,2012,f,medium,,no
75,2011,2,0.301,205,141,287,28.08.13,11.06.14,15.05.13,125,2013,f,medium,,no
75,2011,3,0.4771,196,153,252,24.09.14,03.06.15,11.06.14,141,2014,f,high fat,,no
