a name,year_birth,age,log_age,bm_before,bm_after,hibdur days,hibstart,hibend,hibendyearbefore,bmspring,year,sex,diet,age death,repro_active
18,2005,2,0.301,238,202,237,19.09.07,13.05.08,23.04.07,211,2007,m,medium,7,no
18,2005,4,0.6021,241,145,342,13.05.09,20.04.10,29.04.09,193,2009,m,protein,7,no
18,2005,6,0.7782,244,180,307,13.07.11,15.05.12,04.05.11,173,2011,m,medium,7,no
19,2005,1,0,239,188,248,03.10.06,08.06.07,20.06.06,123,2006,m,medium,7,no
19,2005,2,0.301,271,149,271,19.07.07,15.04.08,08.06.07,188,2007,m,high fat,7,yes
19,2005,3,0.4771,234,183,275,18.08.08,20.05.09,15.04.08,149,2008,m,medium,7,no
19,2005,4,0.6021,231,149,328,03.06.09,27.04.10,20.05.09,183,2009,m,protein,7,no
19,2005,5,0.699,203,148,218,12.10.10,18.05.11,27.04.10,149,2010,m,high fat,7,yes
19,2005,6,0.7782,232,155,307,13.07.11,15.05.12,18.05.11,148,2011,m,medium,7,yes
20,2005,1,0,291,255,262,19.09.06,08.06.07,23.05.06,145,2006,m,medium,3,no
20,2005,2,0.301,226,161,222,06.09.07,15.04.08,08.06.07,255,2007,m,high fat,3,no
21,2006,2,0.301,216,134,316,24.06.08,06.05.09,05.06.08,185,2008,m,medium,4,no
21,2006,3,0.4771,159,100,196,23.09.09,07.04.10,06.05.09,134,2009,m,protein,4,no
22,2006,1,0,220,178,285,13.09.07,24.06.08,09.05.07,115,2007,m,high fat,6,yes
22,2006,3,0.4771,175,94,329,13.05.09,07.04.10,29.04.09,155,2009,m,protein,6,no
22,2006,4,0.6021,197,146,239,21.09.10,18.05.11,07.04.10,94,2010,m,high fat,6,yes
22,2006,5,0.699,217,150,286,27.07.11,08.05.12,18.05.11,146,2011,m,medium,6,yes
23,2006,1,0,228,169,292,06.09.07,24.06.08,08.06.07,88,2007,m,high fat,5,no
23,2006,2,0.301,175,114,317,30.06.08,13.05.09,24.06.08,169,2008,m,medium,5,no
23,2006,3,0.4771,150,95,237,30.09.09,25.05.10,13.05.09,114,2009,m,medium,5,no
23,2006,4,0.6021,200,118,260,31.08.10,18.05.11,25.05.10,95,2010,m,high fat,5,yes
24,2006,1,0,225,149,230,26.09.07,13.05.08,09.05.07,88,2007,m,medium,9,yes
24,2006,2,0.301,224,139,303,14.07.08,13.05.09,13.05.08,149,2008,m,medium,9,no
24,2006,3,0.4771,184,121,328,03.06.09,27.04.10,13.05.09,139,2009,m,protein,9,no
24,2006,4,0.6021,219,154,211,12.10.10,11.05.11,27.04.10,121,2010,m,high fat,9,yes
24,2006,5,0.699,242,139,266,23.08.11,15.05.12,11.05.11,154,2011,m,medium,9,yes
24,2006,6,0.7782,188,156,246,11.09.12,15.05.13,15.05.12,139,2012,m,medium,9,yes
24,2006,7,0.8451,210,160,245,25.09.13,28.05.14,15.05.13,156,2013,m,medium,9,yes
24,2006,8,0.9031,206,134,194,08.10.14,20.04.15,28.04.14,160,2014,m,high fat,9,yes
25,2006,1,0,201,164,257,06.09.07,20.05.08,08.06.07,129,2007,m,medium,3,no
25,2006,2,0.301,214,132,309,24.06.08,29.04.09,20.05.08,164,2008,m,medium,3,no
26,2006,2,0.301,188,142,293,10.07.08,29.04.09,20.05.08,152,2008,m,medium,7,no
26,2006,3,0.4771,196,109,307,01.07.09,04.05.10,29.04.09,142,2009,m,high fat,7,no
26,2006,4,0.6021,195,144,232,28.09.10,18.05.11,04.05.10,109,2010,m,high fat,7,yes
26,2006,5,0.699,239,159,202,02.11.11,22.05.12,18.05.11,144,2011,m,high fat,7,yes
26,2006,6,0.7782,187,154,225,09.10.12,22.05.13,22.05.12,159,2012,m,medium,7,yes
27,2007,1,0,226,149,271,29.08.08,27.05.09,09.06.08,112,2008,m,medium,9,no
27,2007,2,0.301,186,131,328,08.07.09,01.06.10,27.05.09,149,2009,m,protein,9,no
27,2007,3,0.4771,219,183,278,25.08.10,08.06.11,01.06.10,131,2010,m,high fat,9,yes
27,2007,4,0.6021,270,179,307,13.07.11,15.05.12,08.06.11,183,2011,m,medium,9,yes
27,2007,5,0.699,248,156,316,10.07.12,22.05.13,15.05.12,179,2012,m,medium,9,no
27,2007,6,0.7782,208,146,259,28.08.13,14.05.14,22.05.13,156,2013,m,medium,9,yes
27,2007,7,0.8451,228,150,294,23.07.14,13.05.15,14.05.14,146,2014,m,medium,9,yes
28,2007,1,0,208,121,240,22.09.08,20.05.09,05.06.08,99,2008,m,high fat,6,no
28,2007,2,0.301,159,104,264,01.07.09,22.03.10,20.05.09,121,2009,m,protein,6,no
28,2007,3,0.4771,215,143,138,03.11.10,21.03.11,22.03.10,104,2010,m,high fat,6,yes
28,2007,5,0.699,265,179,225,02.10.12,15.05.13,22.03.12,206,2012,m,medium,6,yes
28,2007,6,0.7782,222,158,231,18.09.13,07.05.14,15.05.13,179,2013,m,medium,6,yes
29,2007,1,0,236,134,239,30.09.08,27.05.09,20.05.08,99,2008,m,high fat,5,no
29,2007,2,0.301,261,168,265,26.08.09,18.05.10,27.05.09,134,2009,m,high fat,5,yes
29,2007,3,0.4771,233,167,138,03.11.10,21.03.11,18.05.10,168,2010,m,high fat,5,yes
29,2007,4,0.6021,256,160,195,09.11.11,22.05.12,21.03.11,167,2011,m,high fat,5,yes
30,2007,1,0,194,125,261,08.09.08,27.05.09,23.04.08,88,2008,m,medium,5,no
30,2007,2,0.301,231,131,195,21.10.09,04.05.10,27.05.09,125,2009,m,high fat,5,no
30,2007,3,0.4771,208,140,239,12.10.10,08.06.11,04.05.10,131,2010,m,high fat,5,yes
30,2007,4,0.6021,166,113,216,12.10.11,15.05.12,08.06.11,140,2011,m,high fat,5,yes
31,2007,1,0,187,116,303,30.06.08,29.04.09,15.04.08,75,2008,m,medium,7,no
31,2007,2,0.301,148,97,130,28.10.09,07.03.10,29.04.09,116,2009,m,protein,7,no
31,2007,3,0.4771,222,129,189,28.09.10,05.04.11,07.03.10,97,2010,m,high fat,7,yes
31,2007,4,0.6021,216,187,139,09.11.11,27.03.12,05.04.11,129,2011,m,high fat,7,yes
31,2007,5,0.699,241,167,239,28.08.12,24.04.13,27.03.12,187,2012,m,medium,7,yes
31,2007,6,0.7782,194,137,217,25.09.13,30.04.14,24.04.13,167,2013,m,medium,7,yes
32,2010,1,0,232,182,251,05.10.11,12.06.12,08.06.11,99,2011,m,high fat,5,no
32,2010,2,0.301,223,166,323,26.06.12,15.05.13,12.06.12,182,2012,m,medium,5,no
32,2010,3,0.4771,186,120,322,12.07.13,30.04.14,15.05.13,166,2013,m,medium,5,no
32,2010,4,0.6021,186,129,301,16.07.14,13.05.15,30.04.14,120,2014,m,medium,5,yes
33,2010,1,0,210,134,265,28.09.11,19.06.12,15.06.11,82,2011,m,high fat,2,no
34,2010,1,0,233,151,251,12.10.11,19.06.12,11.05.11,111,2011,m,high fat,5,no
34,2010,2,0.301,213,142,280,31.07.12,07.05.13,19.06.12,151,2012,m,medium,5,no
34,2010,3,0.4771,216,130,273,11.09.13,11.06.14,07.05.13,142,2013,m,medium,5,yes
34,2010,4,0.6021,254,153,231,24.09.14,13.05.15,11.06.14,130,2014,m,high fat,5,yes
35,2010,1,0,202,150,251,05.10.11,12.06.12,08.06.11,104,2011,m,high fat,3,no
35,2010,2,0.301,194,138,300,17.07.12,07.05.13,12.06.12,150,2012,m,medium,3,no
36,2010,1,0,174,112,265,05.10.11,26.06.12,08.06.11,92,2011,m,high fat,,no
36,2010,2,0.301,176,117,264,28.08.12,19.05.13,26.06.12,112,2012,m,medium,,no
36,2010,4,0.6021,202,147,238,03.09.14,29.04.15,28.05.14,135,2014,m,high fat,,yes
37,2011,1,0,221,154,281,11.09.12,19.06.13,12.06.12,96,2012,m,medium,,no
37,2011,2,0.301,180,138,273,21.08.13,21.05.14,19.06.13,154,2013,m,medium,,yes
37,2011,3,0.4771,195,166,287,30.07.14,13.05.15,21.05.14,138,2014,m,medium,,yes
38,2011,1,0,211,147,274,11.09.12,12.06.13,12.07.12,107,2012,m,medium,,no
38,2011,2,0.301,208,130,273,28.08.13,28.05.14,12.06.13,147,2013,m,medium,,yes
38,2011,3,0.4771,204,133,273,13.07.14,13.05.15,28.05.14,130,2014,m,medium,,yes
