Pt,Asian badger,Boar,Hog badger,Leopard cat,Masked palm civet,Pere David's rock squirrel,Raccoon dog,Red squirrel,Siberian roe deer,Siberian weasel,Swinhoe's striped squirrel,Tolai hare,Impervious areas,Agricultural land,Water sources,Roads,Altitude,TPI,Day,Season,Vegetation
80,0,0,0,0,0,2,0,0,0,0,0,0,1585.93527,255.8586581,2634.789333,22.07510363,185,-7.875,91,Winter,Deciduous Broadleaf Forest
81,0,0,0,0,0,0,0,1,0,0,0,0,258.047503,158.8729014,273.6620863,176.3468154,190,-2.875,91,Winter,Deciduous Broadleaf Forest
82,0,0,0,0,0,0,1,0,0,0,0,0,381.9945233,56.51826695,315.1542526,82.92769224,203,-1.875,91,Winter,Deciduous Broadleaf Forest
83,0,0,0,0,0,0,0,0,0,0,0,0,241.5037365,44.47948479,345.4124248,322.034882,233,2,91,Winter,Deciduous Broadleaf Forest
84,0,0,0,0,0,4,0,0,1,0,0,0,496.4352395,469.7485692,294.4943072,135.5151363,287,-8.125,91,Winter,Shrubland
85,0,0,0,0,0,0,0,0,0,0,0,0,347.9082027,341.6838176,252.8660763,18.1473374,307,3.875,91,Winter,Deciduous Broadleaf Forest
86,0,0,0,0,0,0,0,0,0,0,0,0,1466.363452,435.0794518,110.4757004,71.97922622,291,-5.25,91,Winter,Deciduous Broadleaf Forest
87,0,2,0,0,0,26,0,0,0,0,0,0,1769.591574,26.06299644,838.1893558,28.95781924,314,-7,91,Winter,Deciduous Broadleaf Forest
88,0,2,0,0,0,23,1,0,0,0,5,0,1896.708408,172.9258358,989.6814048,185.289078,337,-3,91,Winter,Deciduous Broadleaf Forest
89,0,0,0,0,0,1,4,0,3,0,0,22,948.5499124,149.0833432,247.2647905,43.58128516,268,-1.875,91,Winter,Deciduous Broadleaf Forest
91,0,0,0,0,0,0,0,0,0,0,0,7,203.8445674,78.7730474,0.796907748,179.5116936,163,-2.25,91,Winter,Coniferous Forest
93,0,0,0,0,0,0,0,0,0,0,0,0,118.2646704,90.74623719,5.600157891,12.5710497,171,-1.75,91,Winter,Deciduous Broadleaf Forest
98,0,0,0,0,0,0,0,0,0,0,0,0,1022.884597,231.9461014,1095.890471,45.17243273,358,3.625,91,Winter,Deciduous Broadleaf Forest
