Samples,Dates Setup,Date Event,Time,Species,Behaviour,Days2
FRE36,01/09/2022,02/09/2022,03:23:00,Small mammal,Visit,0.5
FRE36,01/09/2022,02/09/2022,22:03:00,Small mammal,Visit,1.5
FRE36,01/09/2022,03/09/2022,03:25:00,Small mammal,Visit,1.5
FRE34,01/09/2022,02/09/2022,01:39:00,Small mammal,Visit,0.5
FRE34,01/09/2022,02/09/2022,05:07:00,Small mammal,Feeding,0.5
FRE34,01/09/2022,02/09/2022,21:59:00,Small mammal,Feeding,1.5
FRE34,01/09/2022,03/09/2022,01:41:00,Small mammal,Feeding,1.5
FRE34,01/09/2022,04/09/2022,00:24:00,Small mammal,Visit,2.5
FRE34,01/09/2022,04/09/2022,01:32:00,Small mammal,Visit,2.5
FRE34,01/09/2022,04/09/2022,04:58:00,Small mammal,Visit,2.5
FRE34,01/09/2022,07/09/2022,23:34:00,Small mammal,Visit,6.5
FRE34,01/09/2022,16/09/2022,03:06:00,Small mammal,Visit,14.5
FRE34,01/09/2022,16/09/2022,21:48:00,Small mammal,Visit,15.5
FRE38,01/09/2022,01/09/2022,23:04:00,Small mammal,Visit,0.5
FRE38,01/09/2022,02/09/2022,03:15:00,Small mammal,Visit,0.5
FRE38,01/09/2022,03/09/2022,03:51:00,Small mammal,Visit,1.5
FRE38,01/09/2022,03/09/2022,23:57:00,Small mammal,Visit,2.5
FRE38,01/09/2022,04/09/2022,21:34:00,Small mammal,Visit,3.5
FRE38,01/09/2022,05/09/2022,01:03:00,Small mammal,Visit,3.5
FRE38,01/09/2022,05/09/2022,02:20:00,Small mammal,Visit,3.5
FRE38,01/09/2022,05/09/2022,03:59:00,Small mammal,Visit,3.5
FRE38,01/09/2022,05/09/2022,04:29:00,Small mammal,Visit,3.5
FRE38,01/09/2022,05/09/2022,04:29:00,Small mammal,Visit,3.5
FRE38,01/09/2022,05/09/2022,23:30:00,Small mammal,Visit,4.5
FRE38,01/09/2022,06/09/2022,03:59:00,Small mammal,Visit,4.5
FRE38,01/09/2022,06/09/2022,04:55:00,Small mammal,Visit,4.5
FRE38,01/09/2022,08/09/2022,02:37:00,Small mammal,Visit,6.5
FRE38,01/09/2022,08/09/2022,06:00:00,Small mammal,Visit,6.5
FRE38,01/09/2022,08/09/2022,22:24:00,Small mammal,Visit,7.5
FRE38,01/09/2022,08/09/2022,22:50:00,Small mammal,Visit,7.5
FRE38,01/09/2022,09/09/2022,02:22:00,Small mammal,Visit,7.5
FRE38,01/09/2022,09/09/2022,05:07:00,Small mammal,Visit,7.5
FRE38,01/09/2022,10/09/2022,02:26:00,Small mammal,Visit,8.5
FRE38,01/09/2022,10/09/2022,04:20:00,Small mammal,Visit,8.5
FRE38,01/09/2022,10/09/2022,06:03:00,Small mammal,Visit,8.5
FRE38,01/09/2022,10/09/2022,21:49:00,Small mammal,Visit,9.5
FRE38,01/09/2022,11/09/2022,02:06:00,Small mammal,Visit,9.5
FRE38,01/09/2022,11/09/2022,04:03:00,Small mammal,Visit,9.5
FRE38,01/09/2022,11/09/2022,21:50:00,Small mammal,Visit,10.5
FRE38,01/09/2022,12/09/2022,01:15:00,Small mammal,Visit,10.5
FRE38,01/09/2022,12/09/2022,04:34:00,Small mammal,Visit,10.5
FRE38,01/09/2022,13/09/2022,03:07:00,Small mammal,Visit,11.5
FRE38,01/09/2022,13/09/2022,04:07:00,Small mammal,Visit,11.5
FRE38,01/09/2022,13/09/2022,20:30:00,Small mammal,Visit,12.5
FRE38,01/09/2022,13/09/2022,23:37:00,Small mammal,Visit,12.5
FRE40,01/09/2022,02/09/2022,23:54:00,Small mammal,Visit,1.5
FRE40,01/09/2022,03/09/2022,00:50:00,Small mammal,Visit,1.5
FRE40,01/09/2022,03/09/2022,03:12:00,Small mammal,Visit,1.5
FRE40,01/09/2022,03/09/2022,05:35:00,Small mammal,Visit,1.5
FRE40,01/09/2022,03/09/2022,21:43:00,Small mammal,Visit,2.5
FRE40,01/09/2022,04/09/2022,05:04:00,Small mammal,Visit,2.5
FRE40,01/09/2022,04/09/2022,20:56:00,Small mammal,Visit,3.5
FRE40,01/09/2022,05/09/2022,00:46:00,Small mammal,Visit,3.5
FRE40,01/09/2022,05/09/2022,21:20:00,Small mammal,Visit,4.5
FRE40,01/09/2022,06/09/2022,01:22:00,Small mammal,Visit,4.5
FRE40,01/09/2022,06/09/2022,21:04:00,Small mammal,Visit,5.5
FRE40,01/09/2022,07/09/2022,01:07:00,Small mammal,Visit,5.5
FRE40,01/09/2022,07/09/2022,02:14:00,Small mammal,Visit,5.5
FRE40,01/09/2022,07/09/2022,02:40:00,Small mammal,Visit,5.5
FRE40,01/09/2022,08/09/2022,01:36:00,Small mammal,Visit,6.5
FRE40,01/09/2022,08/09/2022,03:21:00,Small mammal,Visit,6.5
FRE40,01/09/2022,08/09/2022,05:15:00,Small mammal,Visit,6.5
FRE40,01/09/2022,08/09/2022,20:48:00,Small mammal,Visit,7.5
FRE40,01/09/2022,08/09/2022,22:04:00,Small mammal,Visit,7.5
FRE40,01/09/2022,09/09/2022,00:42:00,Small mammal,Visit,7.5
FRE40,01/09/2022,09/09/2022,04:52:00,Small mammal,Visit,7.5
FRE40,01/09/2022,09/09/2022,22:21:00,Small mammal,Visit,8.5
FRE40,01/09/2022,10/09/2022,05:27:00,Small mammal,Visit,8.5
FRE40,01/09/2022,10/09/2022,23:01:00,Small mammal,Visit,9.5
FRE40,01/09/2022,11/09/2022,21:28:00,Small mammal,Visit,10.5
FRE40,01/09/2022,13/09/2022,04:28:00,Small mammal,Visit,11.5
FRE40,01/09/2022,14/09/2022,21:06:00,Small mammal,Visit,13.5
FRE40,01/09/2022,14/09/2022,22:56:00,Small mammal,Visit,13.5
FRE40,01/09/2022,15/09/2022,21:13:00,Small mammal,Visit,14.5
FRE40,01/09/2022,16/09/2022,00:41:00,Small mammal,Visit,14.5
FRE40,01/09/2022,16/09/2022,23:10:00,Small mammal,Visit,15.5
FRE41,03/10/2022,04/10/2022,01:14:00,Small mammal,Visit,0.5
FRE41,03/10/2022,04/10/2022,04:09:00,Small mammal,Visit,0.5
FRE41,03/10/2022,06/10/2022,05:48:00,Small mammal,Visit,2.5
FRE42,03/10/2022,05/10/2022,03:48:00,Small mammal,Visit,1.5
FRE42,03/10/2022,05/10/2022,04:27:00,Small mammal,Visit,1.5
FRE43,03/10/2022,03/10/2022,21:33:00,Small mammal,Visit,0.5
FRE43,03/10/2022,03/10/2023,22:39:00,Small mammal,Visit,0.5
FRE43,03/10/2022,04/10/2022,01:27:00,Small mammal,Visit,0.5
FRE43,03/10/2022,04/10/2022,03:06:00,Small mammal,Visit,0.5
FRE43,03/10/2022,04/10/2022,03:52:00,Small mammal,Visit,0.5
FRE43,03/10/2022,04/10/2022,19:55:00,Small mammal,Visit,1.5
FRE43,03/10/2022,04/10/2022,22:21:00,Small mammal,Visit,1.5
FRE43,03/10/2022,04/10/2022,22:56:00,Small mammal,Visit,1.5
FRE43,03/10/2022,05/10/2022,00:02:00,Small mammal,Visit,1.5
FRE43,03/10/2022,05/10/2022,01:44:00,Small mammal,Visit,1.5
FRE43,03/10/2022,05/10/2022,02:33:00,Small mammal,Visit,1.5
FRE43,03/10/2022,05/10/2022,04:35:00,Small mammal,Visit,1.5
FRE43,03/10/2022,05/10/2022,19:56:00,Small mammal,Visit,2.5
FRE43,03/10/2022,05/10/2022,23:53:00,Small mammal,Visit,2.5
FRE43,03/10/2022,06/10/2022,01:17:00,Small mammal,Visit,2.5
FRE43,03/10/2022,06/10/2022,03:43:00,Small mammal,Visit,2.5
FRE43,03/10/2022,07/10/2022,00:30:00,Small mammal,Visit,3.5
FRE43,03/10/2022,07/10/2022,03:45:00,Small mammal,Visit,3.5
FRE45,03/10/2022,03/10/2022,20:09:00,Small mammal,Visit,0.5
FRE45,03/10/2022,03/10/2022,22:28:00,Small mammal,Visit,0.5
FRE45,03/10/2022,03/10/2022,23:20:00,Small mammal,Visit,0.5
FRE45,03/10/2022,04/10/2022,01:31:00,Small mammal,Visit,0.5
FRE45,03/10/2022,04/10/2022,01:36:00,Small mammal,Visit,0.5
FRE45,03/10/2022,04/10/2022,02:47:00,Small mammal,Visit,0.5
FRE45,03/10/2022,04/10/2022,03:50:00,Small mammal,Visit,0.5
FRE45,03/10/2022,04/10/2022,05:08:00,Small mammal,Visit,0.5
FRE45,03/10/2022,04/10/2022,05:29:00,Small mammal,Visit,0.5
FRE45,03/10/2022,04/10/2022,11:17:00,Small mammal,Visit,1
FRE45,03/10/2022,04/10/2022,20:19:00,Small mammal,Visit,1.5
FRE45,03/10/2022,04/10/2022,20:49:00,Small mammal,Visit,1.5
FRE45,03/10/2022,04/10/2022,22:43:00,Small mammal,Visit,1.5
FRE45,03/10/2022,04/10/2022,23:23:00,Small mammal,Visit,1.5
FRE45,03/10/2022,05/10/2022,02:09:00,Small mammal,Visit,1.5
FRE45,03/10/2022,05/10/2022,03:00:00,Small mammal,Visit,1.5
FRE45,03/10/2022,05/10/2022,04:28:00,Small mammal,Feeding,1.5
FRE45,03/10/2022,05/10/2022,12:06:00,Small mammal,Visit,2
FRE45,03/10/2022,05/10/2022,20:21:00,Small mammal,Visit,2.5
FRE45,03/10/2022,05/10/2022,23:20:00,Small mammal,Visit,2.5
FRE45,03/10/2022,06/10/2022,00:06:00,Small mammal,Visit,2.5
FRE45,03/10/2022,06/10/2022,02:05:00,Small mammal,Visit,2.5
FRE45,03/10/2022,06/10/2022,02:53:00,Small mammal,Visit,2.5
FRE45,03/10/2022,06/10/2022,02:57:00,Small mammal,Visit,2.5
FRE45,03/10/2022,06/10/2022,04:06:00,Small mammal,Visit,2.5
FRE45,03/10/2022,06/10/2022,05:18:00,Small mammal,Visit,2.5
FRE45,03/10/2022,06/10/2022,06:01:00,Small mammal,Visit,2.5
FRE45,03/10/2022,06/10/2022,19:10:00,Small mammal,Visit,3.5
FRE45,03/10/2022,06/10/2022,20:46:00,Small mammal,Visit,3.5
FRE45,03/10/2022,06/10/2022,21:06:00,Small mammal,Visit,3.5
FRE45,03/10/2022,06/10/2022,23:21:00,Small mammal,Visit,3.5
FRE45,03/10/2022,07/10/2022,02:09:00,Small mammal,Visit,3.5
FRE45,03/10/2022,07/10/2022,02:53:00,Small mammal,Visit,3.5
FRE45,03/10/2022,07/10/2022,03:42:00,Small mammal,Visit,3.5
FRE45,03/10/2022,07/10/2022,04:48:00,Small mammal,Visit,3.5
FRE45,03/10/2022,07/10/2022,05:26:00,Small mammal,Visit,3.5
FRE45,03/10/2022,07/10/2022,19:33:00,Small mammal,Visit,4.5
FRE45,03/10/2022,07/10/2022,20:31:00,Small mammal,Visit,4.5
FRE45,03/10/2022,07/10/2022,23:22:00,Small mammal,Visit,4.5
FRE45,03/10/2022,08/10/2022,02:46:00,Small mammal,Visit,4.5
FRE45,03/10/2022,08/10/2022,03:09:00,Small mammal,Visit,4.5
FRE45,03/10/2022,08/10/2022,05:41:00,Small mammal,Visit,4.5
FRE45,03/10/2022,08/10/2022,06:35:00,Small mammal,Visit,4.5
FRE45,03/10/2022,08/10/2022,19:39:00,Small mammal,Visit,5.5
FRE45,03/10/2022,08/10/2022,20:41:00,Small mammal,Visit,5.5
FRE45,03/10/2022,08/10/2022,22:49:00,Small mammal,Visit,5.5
FRE45,03/10/2022,09/10/2022,02:00:00,Small mammal,Visit,5.5
FRE45,03/10/2022,09/10/2022,02:34:00,Small mammal,Visit,5.5
FRE45,03/10/2022,09/10/2022,04:54:00,Small mammal,Visit,5.5
FRE45,03/10/2022,09/10/2022,05:25:00,Small mammal,Visit,5.5
FRE45,03/10/2022,09/10/2022,06:05:00,Small mammal,Visit,5.5
FRE45,03/10/2022,09/10/2022,23:24:00,Small mammal,Visit,6.5
FRE45,03/10/2022,10/10/2022,02:53:00,Small mammal,Visit,6.5
FRE45,03/10/2022,10/10/2022,06:23:00,Small mammal,Visit,6.5
FRE45,03/10/2022,10/10/2022,19:37:00,Small mammal,Visit,7.5
FRE45,03/10/2022,10/10/2022,20:17:00,Small mammal,Visit,7.5
FRE45,03/10/2022,10/10/2022,23:29:00,Small mammal,Visit,7.5
FRE45,03/10/2022,11/10/2022,03:15:00,Small mammal,Visit,7.5
FRE45,03/10/2022,11/10/2022,06:05:00,Small mammal,Visit,7.5
FRE45,03/10/2022,11/10/2022,20:12:00,Small mammal,Visit,8.5
FRE45,03/10/2022,12/10/2022,05:21:00,Small mammal,Visit,8.5
FRE45,03/10/2022,12/10/2022,19:40:00,Small mammal,Visit,9.5
FRE45,03/10/2022,12/10/2022,20:31:00,Small mammal,Visit,9.5
FRE45,03/10/2022,13/10/2022,02:47:00,Small mammal,Visit,9.5
FRE45,03/10/2022,13/10/2022,03:09:00,Small mammal,Visit,9.5
FRE45,03/10/2022,13/10/2022,06:23:00,Small mammal,Visit,9.5
FRE45,03/10/2022,14/10/2022,06:08:00,Small mammal,Visit,10.5
FRE45,03/10/2022,15/10/2022,03:19:00,Small mammal,Visit,11.5
FRE45,03/10/2022,15/10/2022,20:36:00,Small mammal,Visit,12.5
FRE45,03/10/2022,15/10/2022,22:01:00,Small mammal,Visit,12.5
FRE45,03/10/2022,16/10/2022,23:29:00,Small mammal,Visit,13.5
FRE45,03/10/2022,16/10/2022,23:54:00,Small mammal,Visit,13.5
FRE45,03/10/2022,17/10/2022,05:12:00,Small mammal,Visit,13.5
FRE45,03/10/2022,18/10/2022,00:26:00,Small mammal,Visit,14.5
FRE45,03/10/2022,18/10/2022,06:36:00,Small mammal,Visit,14.5
FRE45,03/10/2022,18/10/2022,20:33:00,Small mammal,Visit,15.5
FRE45,03/10/2022,19/10/2022,02:41:00,Small mammal,Visit,15.5
FRE46,03/10/2022,04/10/2022,01:05:00,Small mammal,Visit,0.5
FRE46,03/10/2022,04/10/2022,02:27:00,Small mammal,Visit,0.5
FRE47,03/10/2022,16/10/2022,03:56:00,Small mammal,Visit,12.5
FRE48,03/10/2022,04/10/2022,00:44:00,Small mammal,Visit,0.5
FRE48,03/10/2022,04/10/2023,21:29:00,Small mammal,Visit,1.5
FRE48,03/10/2022,05/10/2022,00:03:00,Small mammal,Visit,1.5
FRE48,03/10/2022,05/10/2022,02:18:00,Small mammal,Visit,1.5
FRE48,03/10/2022,05/10/2022,03:17:00,Small mammal,Visit,1.5
FRE48,03/10/2022,05/10/2022,20:05:00,Small mammal,Visit,2.5
FRE48,03/10/2022,09/10/2022,22:23:00,Small mammal,Visit,6.5
FRE7,18/05/2022,25/05/2022,07:51:00,Squirrel,Visit,7
FRE30,05/08/2022,08/08/2022,16:02:00,Squirrel,Visit,3
FRE30,05/08/2022,11/08/2022,15:45:00,Squirrel,Visit,6
FRE30,05/08/2022,15/08/2022,12:27:00,Squirrel,Visit,10
FRE30,05/08/2022,20/08/2022,16:32:00,Squirrel,Visit,15
FRE40,01/09/2022,01/09/2022,16:21:00,Squirrel,Visit,0
FRE40,01/09/2022,03/09/2022,09:31:00,Squirrel,Visit,2
FRE40,01/09/2022,10/09/2022,07:32:00,Squirrel,Visit,9
FRE40,01/09/2022,10/09/2022,08:54:00,Squirrel,Visit,9
FRE41,03/10/2022,06/10/2022,17:24:00,Squirrel,Visit,3
FRE41,03/10/2022,07/10/2022,10:09:00,Squirrel,Visit,4
FRE41,03/10/2022,10/10/2022,09:26:00,Squirrel,Visit,7
FRE41,03/10/2022,10/10/2022,16:04:00,Squirrel,Visit,7
FRE45,03/10/2022,14/10/2022,16:24:00,Squirrel,Visit,11
FRE48,03/10/2022,04/10/2022,08:07:00,Squirrel,Visit,1
FRE6,18/05/2022,24/05/2022,21:55:00,Stone marten,Visit,6.5
FRE6,18/05/2022,28/05/2022,21:54:00,Stone marten,Visit,10.5
FRE8,18/05/2022,19/05/2022,07:03:00,Stone marten,Feeding,1
FRE8,18/05/2022,20/05/2022,01:33:00,Stone marten,Feeding,1.5
FRE8,18/05/2022,21/05/2022,22:47:00,Stone marten,Visit,3.5
FRE8,18/05/2022,22/05/2022,02:04:00,Stone marten,Visit,3.5
FRE8,18/05/2022,28/05/2022,02:26:00,Stone marten,Visit,9.5
FRE26,05/08/2022,10/08/2022,23:16:00,Stone marten,Visit,5.5
FRE26,05/08/2022,12/08/2022,22:41:00,Stone marten,Feeding,7.5
FRE26,05/08/2022,13/08/2022,04:42:00,Stone marten,Visit,7.5
FRE27,05/08/2022,09/08/2022,05:29:00,Stone marten,Feeding,3.5
FRE30,05/08/2022,19/08/2022,04:35:00,Stone marten,Visit,13.5
FRE35,01/09/2022,01/09/2022,21:16:00,Stone marten,Visit,0.5
FRE37,01/09/2022,05/09/2022,20:54:00,Stone marten,Visit,4.5
FRE42,03/10/2022,08/10/2022,17:01:00,Stone marten,Visit,5
FRE42,03/10/2022,08/10/2022,22:41:00,Stone marten,Visit,5.5
FRE42,03/10/2022,09/10/2022,07:41:00,Stone marten,Visit,6
FRE34,01/09/2022,02/09/2022,02:38:00,Small mammal,Visit,0.5
FRE34,01/09/2022,02/09/2022,03:58:00,Small mammal,Visit,0.5
FRE34,01/09/2022,03/09/2022,00:24:00,Small mammal,Visit,1.5
FRE34,01/09/2022,03/09/2022,03:33:00,Small mammal,Visit,1.5
FRE34,01/09/2022,04/09/2022,01:51:00,Small mammal,Visit,2.5
