scientific_name,family,reproductive_mode,ac,median_depth,max_size_cm,ventilation_method,habitat,estimate_type,mortality_prop,gear_class,estimate_type_new
Squalus acanthias,Squalidae,lecithotrophic viviparity,8.2153,989,200,stationary,demersal,AVM Longline,0.1693445643637761,Longline,AVM
Squalus acanthias,Squalidae,lecithotrophic viviparity,8.2153,989,200,stationary,demersal,PRM Longline,0.32186711189382816,Longline,PRM
Squalus cubensis,Squalidae,lecithotrophic viviparity,7.737926666666667,370.5,110,stationary,demersal,AVM Longline,0.19942714279524926,Longline,AVM
Squalus cubensis,Squalidae,lecithotrophic viviparity,7.737926666666667,370.5,110,stationary,demersal,PRM Longline,0.43817014394090287,Longline,PRM
Hexanchus nakamurai,Hexanchidae,lecithotrophic viviparity,10.609,351,177.8,ram,demersal,AVM Longline,0.3029437937339049,Longline,AVM
Hexanchus nakamurai,Hexanchidae,lecithotrophic viviparity,10.609,351,177.8,ram,demersal,PRM Longline,0.29343316014100174,Longline,PRM
Centrophorus squamosus,Centrophoridae,lecithotrophic viviparity,8.8156,1683,166,stationary,demersal,AVM Longline,0.1472188316076407,Longline,AVM
Centrophorus squamosus,Centrophoridae,lecithotrophic viviparity,8.8156,1683,166,stationary,demersal,PRM Longline,0.34660580831932225,Longline,PRM
Centroscymnus coelolepis,Somniosidae,lecithotrophic viviparity,4.5968,1901.5,130,stationary,demersal,AVM Longline,0.13660934990665563,Longline,AVM
Centroscymnus coelolepis,Somniosidae,lecithotrophic viviparity,4.5968,1901.5,130,stationary,demersal,PRM Longline,0.3140355145427216,Longline,PRM
Carcharhinus leucas,Carcharhinidae,matrotrophic viviparity,6.6321,82.5,366,ram,pelagic,AVM Longline,0.4199917760915464,Longline,AVM
Carcharhinus leucas,Carcharhinidae,matrotrophic viviparity,6.6321,82.5,366,ram,pelagic,PRM Longline,0.2296948485615971,Longline,PRM
Ginglymostoma cirratum,Ginglymostomatidae,lecithotrophic oviparity,3.1785,65,308,stationary,pelagic,AVM Longline,0.17578896357296395,Longline,AVM
Ginglymostoma cirratum,Ginglymostomatidae,lecithotrophic oviparity,3.1785,65,308,stationary,pelagic,PRM Longline,0.3346597110618276,Longline,PRM
Carcharhinus acronotus,Carcharhinidae,matrotrophic viviparity,8.3419,51.5,164,ram,pelagic,AVM Longline,0.3521100409829078,Longline,AVM
Carcharhinus acronotus,Carcharhinidae,matrotrophic viviparity,8.3419,51.5,164,ram,pelagic,PRM Longline,0.3802844202480814,Longline,PRM
Heptranchias perlo,Hexanchidae,lecithotrophic viviparity,11.532,500,140,ram,demersal,AVM Longline,0.2859525907658139,Longline,AVM
Heptranchias perlo,Hexanchidae,lecithotrophic viviparity,11.532,500,140,ram,demersal,PRM Longline,0.2867355355574674,Longline,PRM
Centrophorus granulosus,Centrophoridae,lecithotrophic viviparity,9.3579,775,176,stationary,demersal,AVM Longline,0.15187843569423068,Longline,AVM
Centrophorus granulosus,Centrophoridae,lecithotrophic viviparity,9.3579,775,176,stationary,demersal,PRM Longline,0.28613012872878435,Longline,PRM
Carcharhinus porosus,Carcharhinidae,matrotrophic viviparity,3.888,42,150,ram,demersal,AVM Longline,0.2291149446783855,Longline,AVM
Carcharhinus porosus,Carcharhinidae,matrotrophic viviparity,3.888,42,150,ram,demersal,PRM Longline,0.34119257904818656,Longline,PRM
Negaprion brevirostris,Carcharhinidae,matrotrophic viviparity,7.4039,60,368,ram,pelagic,AVM Longline,0.3556163677401822,Longline,AVM
Negaprion brevirostris,Carcharhinidae,matrotrophic viviparity,7.4039,60,368,ram,pelagic,PRM Longline,0.28085286535939136,Longline,PRM
Carcharhinus amboinensis,Carcharhinidae,matrotrophic viviparity,9.92492714025501,50,280,ram,pelagic,AVM Longline,0.3197486935749298,Longline,AVM
Carcharhinus amboinensis,Carcharhinidae,matrotrophic viviparity,9.92492714025501,50,280,ram,pelagic,PRM Longline,0.3655567142211053,Longline,PRM
Carcharhinus sorrah,Carcharhinidae,matrotrophic viviparity,5.01,70,166,ram,pelagic,AVM Longline,0.41234239304522935,Longline,AVM
Carcharhinus sorrah,Carcharhinidae,matrotrophic viviparity,5.01,70,166,ram,pelagic,PRM Longline,0.3482055301321737,Longline,PRM
Scyliorhinus canicula,Scyliorhinidae,lecithotrophic oviparity,6.7455,400.5,100,stationary,demersal,AVM Longline,0.18932067008275283,Longline,AVM
Scyliorhinus canicula,Scyliorhinidae,lecithotrophic oviparity,6.7455,400.5,100,stationary,demersal,PRM Longline,0.4097619180808137,Longline,PRM
Orectolobus ornatus,Orectolobidae,lecithotrophic viviparity,5.6825,52.5,170,stationary,pelagic,AVM Longline,0.18221896378778513,Longline,AVM
Orectolobus ornatus,Orectolobidae,lecithotrophic viviparity,5.6825,52.5,170,stationary,pelagic,PRM Longline,0.3489867262898896,Longline,PRM
Somniosus microcephalus,Somniosidae,lecithotrophic viviparity,3.75285,1323.5,730,stationary,demersal,AVM Longline,0.1260932708324864,Longline,AVM
Somniosus microcephalus,Somniosidae,lecithotrophic viviparity,3.75285,1323.5,730,stationary,demersal,PRM Longline,0.24944416311561296,Longline,PRM
Centrophorus harrissoni,Centrophoridae,lecithotrophic viviparity,6.4469,520,111.4,stationary,demersal,AVM Longline,0.1604237576582902,Longline,AVM
Centrophorus harrissoni,Centrophoridae,lecithotrophic viviparity,6.4469,520,111.4,stationary,demersal,PRM Longline,0.3098153516132035,Longline,PRM
Prionace glauca,Carcharhinidae,matrotrophic viviparity,8.6017,500,383.5,ram,pelagic,AVM Longline,0.3317694453026983,Longline,AVM
Prionace glauca,Carcharhinidae,matrotrophic viviparity,8.6017,500,383.5,ram,pelagic,PRM Longline,0.19082397606093993,Longline,PRM
Alopias vulpinus,Alopiidae,matrotrophic viviparity,8.7014,325,573.3,ram,pelagic,AVM Longline,0.3978103190495896,Longline,AVM
Alopias vulpinus,Alopiidae,matrotrophic viviparity,8.7014,325,573.3,ram,pelagic,PRM Longline,0.1902571712448353,Longline,PRM
Pseudocarcharias kamoharai,Pseudocarchariidae,matrotrophic viviparity,5.2458,295,122,ram,pelagic,AVM Longline,0.40681831439194954,Longline,AVM
Pseudocarcharias kamoharai,Pseudocarchariidae,matrotrophic viviparity,5.2458,295,122,ram,pelagic,PRM Longline,0.2927402665609883,Longline,PRM
Galeocerdo cuvier,Carcharhinidae,matrotrophic viviparity,12.342,556,740,ram,demersal,AVM Longline,0.33912445901881083,Longline,AVM
Galeocerdo cuvier,Carcharhinidae,matrotrophic viviparity,12.342,556,740,ram,demersal,PRM Longline,0.13185056461247438,Longline,PRM
Galeorhinus galeus,Triakidae,lecithotrophic viviparity,11.901,400,199,ram,demersal,AVM Longline,0.24933539965154636,Longline,AVM
Galeorhinus galeus,Triakidae,lecithotrophic viviparity,11.901,400,199,ram,demersal,PRM Longline,0.29170140507474956,Longline,PRM
Sphyrna lewini,Sphyrnidae,matrotrophic viviparity,14.608,521.5,430,ram,pelagic,AVM Longline,0.338631728020958,Longline,AVM
Sphyrna lewini,Sphyrnidae,matrotrophic viviparity,14.608,521.5,430,ram,pelagic,PRM Longline,0.15006388037269558,Longline,PRM
Alopias pelagicus,Alopiidae,matrotrophic viviparity,9.7281,150,428,ram,pelagic,AVM Longline,0.4020614385578948,Longline,AVM
Alopias pelagicus,Alopiidae,matrotrophic viviparity,9.7281,150,428,ram,pelagic,PRM Longline,0.2394534509687916,Longline,PRM
Carcharhinus brevipinna,Carcharhinidae,matrotrophic viviparity,10.685,100,304,ram,pelagic,AVM Longline,0.4224565573966537,Longline,AVM
Carcharhinus brevipinna,Carcharhinidae,matrotrophic viviparity,10.685,100,304,ram,pelagic,PRM Longline,0.42066272454237047,Longline,PRM
Scymnodon ichiharai,Somniosidae,lecithotrophic viviparity,3.9064,640,151.1,stationary,pelagic,AVM Longline,0.12955727790090735,Longline,AVM
Scymnodon ichiharai,Somniosidae,lecithotrophic viviparity,3.9064,640,151.1,stationary,pelagic,PRM Longline,0.3210653977128038,Longline,PRM
Carcharhinus brachyurus,Carcharhinidae,matrotrophic viviparity,6.2708,73,322,ram,pelagic,AVM Longline,0.4326493097022466,Longline,AVM
Carcharhinus brachyurus,Carcharhinidae,matrotrophic viviparity,6.2708,73,322,ram,pelagic,PRM Longline,0.3402426444047127,Longline,PRM
Carcharhinus altimus,Carcharhinidae,matrotrophic viviparity,17.283,405,300,ram,pelagic,AVM Longline,0.35224798013919856,Longline,AVM
Carcharhinus altimus,Carcharhinidae,matrotrophic viviparity,17.283,405,300,ram,pelagic,PRM Longline,0.23944033104168153,Longline,PRM
Centroscymnus owstonii,Somniosidae,lecithotrophic viviparity,5.3314,804.5,120,stationary,demersal,AVM Longline,0.16759254495511355,Longline,AVM
Centroscymnus owstonii,Somniosidae,lecithotrophic viviparity,5.3314,804.5,120,stationary,demersal,PRM Longline,0.30800882132203455,Longline,PRM
Galeus melastomus,Scyliorhinidae,lecithotrophic oviparity,6.0236,1027.5,90,stationary,demersal,AVM Longline,0.16367075874745388,Longline,AVM
Galeus melastomus,Scyliorhinidae,lecithotrophic oviparity,6.0236,1027.5,90,stationary,demersal,PRM Longline,0.32842787978037946,Longline,PRM
Mustelus antarcticus,Triakidae,lecithotrophic viviparity,16.442,176.125,185.2,ram,demersal,AVM Longline,0.2928058035273347,Longline,AVM
Mustelus antarcticus,Triakidae,lecithotrophic viviparity,16.442,176.125,185.2,ram,demersal,PRM Longline,0.18235867912122375,Longline,PRM
Negaprion acutidens,Carcharhinidae,matrotrophic viviparity,4.7028,45,310,ram,pelagic,AVM Longline,0.2745941496317826,Longline,AVM
Negaprion acutidens,Carcharhinidae,matrotrophic viviparity,4.7028,45,310,ram,pelagic,PRM Longline,0.34808142010448995,Longline,PRM
Rhizoprionodon acutus,Carcharhinidae,matrotrophic viviparity,6.0408,100.5,178,ram,demersal,AVM Longline,0.42554247804123674,Longline,AVM
Rhizoprionodon acutus,Carcharhinidae,matrotrophic viviparity,6.0408,100.5,178,ram,demersal,PRM Longline,0.3266548806542849,Longline,PRM
Somniosus pacificus,Somniosidae,lecithotrophic viviparity,3.75285,1102.5,440,stationary,pelagic,AVM Longline,0.1260932708324864,Longline,AVM
Somniosus pacificus,Somniosidae,lecithotrophic viviparity,3.75285,1102.5,440,stationary,pelagic,PRM Longline,0.2282094545405415,Longline,PRM
Etmopterus lucifer,Etmopteridae,lecithotrophic viviparity,9.0476,753.5,55,stationary,pelagic,AVM Longline,0.15187843569423068,Longline,AVM
Etmopterus lucifer,Etmopteridae,lecithotrophic viviparity,9.0476,753.5,55,stationary,pelagic,PRM Longline,0.3338833678313324,Longline,PRM
Squalus suckleyi,Squalidae,lecithotrophic viviparity,4.6723,618,130,stationary,pelagic,AVM Longline,0.1400733569750766,Longline,AVM
Squalus suckleyi,Squalidae,lecithotrophic viviparity,4.6723,618,130,stationary,pelagic,PRM Longline,0.29763097260217564,Longline,PRM
Squatina occulta,Squatinidae,lecithotrophic viviparity,10.32279231,177.5,120,stationary,demersal,AVM Longline,0.21041204125268936,Longline,AVM
Squatina occulta,Squatinidae,lecithotrophic viviparity,10.32279231,177.5,120,stationary,demersal,PRM Longline,0.3391188926588576,Longline,PRM
Echinorhinus brucus,Echinorhinidae,lecithotrophic viviparity,6.4253,455,310,stationary,demersal,AVM Longline,0.1662644519681974,Longline,AVM
Echinorhinus brucus,Echinorhinidae,lecithotrophic viviparity,6.4253,455,310,stationary,demersal,PRM Longline,0.28709004388809256,Longline,PRM
Squalus mitsukurii,Squalidae,lecithotrophic viviparity,7.7126,479,112,stationary,pelagic,AVM Longline,0.1648088473837548,Longline,AVM
Squalus mitsukurii,Squalidae,lecithotrophic viviparity,7.7126,479,112,stationary,pelagic,PRM Longline,0.34663645659409503,Longline,PRM
Mitsukurina owstoni,Mitsukurinidae,matrotrophic viviparity,6.6086,665,617,ram,demersal,AVM Longline,0.33777126125014784,Longline,AVM
Mitsukurina owstoni,Mitsukurinidae,matrotrophic viviparity,6.6086,665,617,ram,demersal,PRM Longline,0.19161824909226105,Longline,PRM
Galeus mincaronei,Pentanchidae,lecithotrophic oviparity,6.907833333,365,48.8,stationary,demersal,AVM Longline,0.19720352303565197,Longline,AVM
Galeus mincaronei,Pentanchidae,lecithotrophic oviparity,6.907833333,365,48.8,stationary,demersal,PRM Longline,0.391700211968185,Longline,PRM
Mustelus fasciatus,Triakidae,lecithotrophic viviparity,7.3961,125.5,150,ram,demersal,AVM Longline,0.29290204554536087,Longline,AVM
