family,binomial_name,common_name,endocranial_volume,brain_mass,ocw_mm,body_mass
Bovidae,Oryx_dammah,Scimitar_Oryx,NA,239.847,61.650,106.979
Balaenopteridae,Balaenoptera_borealis,Sei_Whale,NA,4935.000,300.000,28968.000
Bovidae,Ovis_aries,Sheep,NA,125.000,46.800,40.971
Delphinidae,Glbiocephala_macrorhynchus,Short-finned_Pilot_Whale,NA,2679.210,NA,900.770
Cervidae,Cervus_nippon,Sika_Deer,258.200,201.000,49.790,53.686
Cervidae,Muntiacus_muntjak,Southern_Red_Muntjac,123.250,124.500,36.420,19.123
Bovidae,Redunca_arundinum,Southern_Reedbuck,160.300,136.800,48.270,48.524
Bovidae,Antidorcas_marsupialis,Springbok,135.000,117.868,NA,24.100
Bovidae,Raphicerus_campestris,Steenbok,NA,51.300,27.280,7.171
Bovidae,Raphiceros_campestris,steenbok,49.000,47.314,NA,10.900
Bovidae,Gazella_thomsoni,Thomson's gazelle,88.000,79.057,NA,35.800
Bovidae,Damaliscus_lunatus,topi,286.000,237.511,NA,153.800
Ziphiidae,Mesoplodon_mirus,True's_Beaked_Whale,2354.700,1698.965,NA,985.136
Delphinidae,Sotalia_fluviatilis,Tucuxi,688.000,538.863,67.229,42.200
Camelidae,Vicugna_vicugna,Vicuna,NA,198.000,NA,35.000
Camelidae,Vicugna_vicugna,Vicuna,220.600,199.900,45.320,39.473
Cervidae,Hydropotes_inermis,water deer,53.000,49.252,NA,16.850
Tragulidae,Hyemoschus_aquaticus,Water_Chevrotain,25.000,24.426,NA,6.789
Tayussuidae,Tayassu_pecari,White-lipped_Peccary,NA,145.800,38.920,23.867
Delphinidae,Lagenorhynchus_acutus,White-sided_Dolphin,NA,1285.030,89.200,124.077
Cervidae,Odocoileus_virginianus,White-tailed_Deer,208.530,176.863,45.020,38.622
Suidae,Sus_scrofa,Wild_Boar,184.633,157.872,57.950,87.721
Bovidae,Bos_grunniens,Yak,334.000,274.517,NA,250.000
Aetiocetidae,cf._Fucaia_sp.,NA,256.700,221.834,72.750,182.745
Aetiocetidae,Fucaia_goedertorum,NA,618.769,488.080,78.000,227.361
Agorophiidae,Genus_Y_n._sp.,NA,1234.400,1050.000,134.500,1707.000
Agriochoeridae,Agriochoerus_sp.,NA,33.000,32.720,47.920,47.385
Ambulocetidae,Ambulocetus_natans,NA,171.000,146.964,79.300,237.457
Arctocyonidae,Arctocyonides_arenae,NA,12.000,12.732,NA,3.900
Arctocyonidae,Arctocyon_primaevus,NA,37.000,36.405,NA,29.700
Basilosauridae,Saghacetus_osiris,NA,480.000,385.088,91.800,378.889
Basilosauridae,Zygorhiza_kochii,NA,917.000,727.652,112.000,706.803
