subject_name,tactic.aggregate,season.year,tactic.season,year.begin,year.end,n.fixes,year.mean,year.max,year.delta,year.mcp.area,mu.daily.disp,subject_sex,subject_ageClass,centroid.dist.meters,tactic.prev,tactic.change
Kiambi,2,2017,2,2017-04-01,2018-03-31,8750,0.0119,0.0218,0.0181,50261.97,5391.08,male,mature adult,573.15,2,0
Kiambi,2,2018,1,2018-04-01,2019-03-31,8741,0.0050,0.0088,0.0069,110577.30,6536.21,male,mature adult,2583.83,2,1
Kiambi,2,2019,2,2019-04-01,2019-11-16,5506,0.0074,0.0120,0.0083,24299.79,5150.02,male,mature adult,570.00,1,1
Kipngetich,1,2012,1,2012-10-20,2013-03-31,3489,0.0000,0.0000,0.0000,8854.66,4237.94,female,young adult,15728.84,NA,NA
Kipngetich,1,2013,2,2013-04-01,2013-09-08,3504,0.0003,0.0231,0.0231,66148.25,5455.32,female,young adult,8930.99,1,1
Lempiris,2,2017,2,2017-11-10,2018-03-31,3173,0.0369,0.0537,0.0255,95589.29,7741.52,male,young adult,30.00,NA,NA
Lempiris,2,2018,3,2018-04-01,2018-12-31,5999,0.0378,0.0495,0.0264,72768.00,6798.59,male,young adult,1647.54,2,1
Lempiris,2,2019,2,2019-04-24,2019-12-31,5988,0.0329,0.0546,0.0338,140221.96,8773.32,male,young adult,360.00,3,1
Limo,2,2015,2,2015-07-31,2016-03-31,5659,0.0117,0.0273,0.0255,82402.18,8584.51,male,mature adult,2082.79,NA,NA
Limo,2,2016,2,2016-04-01,2017-03-31,8606,0.0329,0.0574,0.0505,50148.77,8641.90,male,mature adult,0.00,2,0
Limo,2,2017,2,2017-04-01,2018-03-31,8512,0.0193,0.0426,0.0361,45473.83,8805.84,male,mature adult,1207.48,2,0
Limo,2,2018,2,2018-04-01,2019-03-31,8745,0.0115,0.0171,0.0102,67611.24,8416.31,male,mature adult,152.97,2,0
