subject_name,tactic.aggregate,season.year,tactic.season,year.begin,year.end,n.fixes,year.mean,year.max,year.delta,year.mcp.area,mu.daily.disp,subject_sex,subject_ageClass,centroid.dist.meters,tactic.prev,tactic.change
Caroline,3,2012,3,2012-04-01,2013-03-31,7738,0.0875,0.1264,0.0968,81189.68,6359.10,female,young adult,67.08,3,0
Caroline,3,2013,4,2013-04-01,2013-12-14,5419,0.1478,0.2028,0.1421,51278.71,6434.99,female,young adult,2970.15,3,1
Caroline,3,2015,3,2015-04-01,2016-03-31,8296,0.0732,0.1236,0.1171,36072.43,6041.82,female,young adult,0.00,4,1
Caroline,3,2016,2,2016-04-01,2017-03-31,8612,0.0375,0.0532,0.0394,24779.15,5103.49,female,young adult,480.94,3,1
Caroline,3,2017,3,2017-04-01,2018-03-31,8614,0.0431,0.0907,0.0806,36097.53,4994.90,female,young adult,108.17,2,1
Caroline,3,2018,3,2018-04-01,2019-03-31,8752,0.0458,0.1458,0.1338,28507.08,5090.54,female,young adult,174.93,3,0
Caroline,3,2019,3,2019-04-01,2019-11-16,5518,0.0573,0.0801,0.0551,38252.66,5209.32,female,young adult,67.08,3,0
Chelsea,1,2015,1,2015-08-01,2016-03-31,5842,0.0039,0.0097,0.0093,58648.05,6706.04,female,young adult,313.21,NA,NA
Chelsea,1,2016,2,2016-04-01,2017-03-31,8618,0.0086,0.0176,0.0171,14190.60,5757.39,female,young adult,2412.90,1,1
Chelsea,1,2017,2,2017-04-01,2018-03-31,8614,0.0079,0.0144,0.0116,22969.95,6053.40,female,young adult,1374.12,2,0
Chelsea,1,2018,2,2018-04-01,2019-03-31,8722,0.0084,0.0144,0.0134,18759.57,6239.01,female,young adult,1980.91,2,0
Chelsea,1,2019,1,2019-04-01,2019-11-16,5451,0.0064,0.0106,0.0079,12709.55,5091.61,female,young adult,1263.21,2,1
Chiri,2,2016,2,2016-04-01,2017-03-31,8724,0.0332,0.0569,0.0435,41590.00,6861.52,female,young adult,2089.69,NA,NA
Chiri,2,2017,2,2017-04-01,2017-08-12,3199,0.0069,0.0199,0.0148,109494.24,6861.50,female,young adult,1560.29,2,0
