Experimentor,Date,TimeDemo,Chamber,Device,Strain,Treatment,Temp,Humidity,ColourDemo,Colour1Court,Colour2Court,ColourTest,MCS
TK,05/07/2024,13:39,B,10,D,C,25.3,58,P,P,G,G,0
TK,05/07/2024,13:39,C,11,D,C,25.3,58,G,P,G,G,1
TK,05/07/2024,13:39,F,18,D,MC,25.3,58,G,P,G,G,1
TK,05/07/2024,14:15,B,7,D,C,25.4,58,G,P,G,P,0
TK,18/07/2024,10:40,D,10,D,MC,25.1,66,P,G,P,P,1
TK,18/07/2024,10:40,F,8,D,MC,25.1,66,P,P,G,P,1
TK,18/07/2024,11:16,F,23,D,MC,25.3,66,G,G,P,G,1
TK,19/07/2024,10:28,A,9,D,MC,25.1,66,P,P,G,P,1
TK,19/07/2024,10:28,C,18,D,MC,25.1,66,G,G,P,P,0
TK,19/07/2024,10:28,F,21,D,MC,25.1,66,P,G,P,P,1
TK,19/07/2024,13:11,E,10,D,MC,25.6,67,G,G,P,G,1
TK,19/07/2024,13:48,D,8,D,MC,25.8,68,G,P,G,P,0
TK,19/07/2024,13:48,E,11,D,MC,25.8,68,P,P,G,P,1
